date,elon,isPartial
2019-02-03,12,False
2019-02-10,10,False
2019-02-17,20,False
2019-02-24,35,False
2019-03-03,25,False
2019-03-10,15,False
2019-03-17,12,False
2019-03-24,10,False
2019-03-31,24,False
2019-04-07,11,False
2019-04-14,11,False
2019-04-21,12,False
2019-04-28,10,False
2019-05-05,10,False
2019-05-12,9,False
2019-05-19,9,False
2019-05-26,9,False
2019-06-02,8,False
2019-06-09,9,False
2019-06-16,9,False
2019-06-23,9,False
2019-06-30,8,False
2019-07-07,8,False
2019-07-14,11,False
2019-07-21,12,False
2019-07-28,11,False
2019-08-04,9,False
2019-08-11,10,False
2019-08-18,10,False
2019-08-25,11,False
2019-09-01,10,False
2019-09-08,12,False
2019-09-15,10,False
2019-09-22,10,False
2019-09-29,13,False
2019-10-06,9,False
2019-10-13,8,False
2019-10-20,7,False
2019-10-27,10,False
2019-11-03,8,False
2019-11-10,9,False
2019-11-17,19,False
2019-11-24,31,False
2019-12-01,16,False
2019-12-08,13,False
2019-12-15,9,False
2019-12-22,9,False
2019-12-29,10,False
2020-01-05,11,False
2020-01-12,11,False
2020-01-19,10,False
2020-01-26,12,False
2020-02-02,14,False
2020-02-09,11,False
2020-02-16,9,False
2020-02-23,8,False
2020-03-01,8,False
2020-03-08,8,False
2020-03-15,7,False
2020-03-22,6,False
2020-03-29,7,False
2020-04-05,7,False
2020-04-12,8,False
2020-04-19,10,False
2020-04-26,13,False
2020-05-03,29,False
2020-05-10,28,False
2020-05-17,17,False
2020-05-24,26,False
2020-05-31,33,False
2020-06-07,18,False
2020-06-14,16,False
2020-06-21,13,False
2020-06-28,12,False
2020-07-05,12,False
2020-07-12,11,False
2020-07-19,12,False
2020-07-26,13,False
2020-08-02,14,False
2020-08-09,11,False
2020-08-16,10,False
2020-08-23,15,False
2020-08-30,17,False
2020-09-06,13,False
2020-09-13,11,False
2020-09-20,11,False
2020-09-27,10,False
2020-10-04,9,False
2020-10-11,10,False
2020-10-18,10,False
2020-10-25,10,False
2020-11-01,8,False
2020-11-08,9,False
2020-11-15,12,False
2020-11-22,13,False
2020-11-29,11,False
2020-12-06,15,False
2020-12-13,12,False
2020-12-20,10,False
2020-12-27,11,False
2021-01-03,22,False
2021-01-10,33,False
2021-01-17,26,False
2021-01-24,23,False
2021-01-31,29,False
2021-02-07,30,False
2021-02-14,25,False
2021-02-21,20,False
2021-02-28,19,False
2021-03-07,19,False
2021-03-14,17,False
2021-03-21,14,False
2021-03-28,13,False
2021-04-04,14,False
2021-04-11,17,False
2021-04-18,19,False
2021-04-25,18,False
2021-05-02,31,False
2021-05-09,100,False
2021-05-16,27,False
2021-05-23,18,False
2021-05-30,19,False
2021-06-06,24,False
2021-06-13,14,False
2021-06-20,12,False
2021-06-27,14,False
2021-07-04,12,False
2021-07-11,14,False
2021-07-18,18,False
2021-07-25,15,False
2021-08-01,15,False
2021-08-08,17,False
2021-08-15,15,False
2021-08-22,17,False
2021-08-29,16,False
2021-09-05,14,False
2021-09-12,13,False
2021-09-19,15,False
2021-09-26,16,False
2021-10-03,16,False
2021-10-10,15,False
2021-10-17,15,False
2021-10-24,18,False
2021-10-31,22,False
2021-11-07,23,False
2021-11-14,23,False
2021-11-21,21,False
2021-11-28,18,False
2021-12-05,20,False
2021-12-12,20,False
2021-12-19,22,False
2021-12-26,23,False
2022-01-02,25,False
2022-01-09,21,False
2022-01-16,20,False
2022-01-23,19,False
2022-01-30,18,False
2022-02-06,18,False
2022-02-13,18,False
2022-02-20,16,False
2022-02-27,18,False
2022-03-06,17,False
2022-03-13,18,False
2022-03-20,18,False
2022-03-27,17,False
2022-04-03,21,False
2022-04-10,33,False
2022-04-17,33,False
2022-04-24,66,False
2022-05-01,41,False
2022-05-08,31,False
2022-05-15,34,False
2022-05-22,29,False
2022-05-29,25,False
2022-06-05,21,False
2022-06-12,19,False
2022-06-19,18,False
2022-06-26,15,False
2022-07-03,16,False
2022-07-10,18,False
2022-07-17,16,False
2022-07-24,16,False
2022-07-31,18,False
2022-08-07,18,False
2022-08-14,18,False
2022-08-21,16,False
2022-08-28,17,False
2022-09-04,19,False
2022-09-11,17,False
2022-09-18,14,False
2022-09-25,16,False
2022-10-02,16,False
2022-10-09,16,False
2022-10-16,16,False
2022-10-23,31,False
2022-10-30,39,False
2022-11-06,27,False
2022-11-13,27,False
2022-11-20,25,False
2022-11-27,23,False
2022-12-04,22,False
2022-12-11,30,False
2022-12-18,22,False
2022-12-25,17,False
2023-01-01,17,False
2023-01-08,17,False
2023-01-15,17,False
2023-01-22,19,False
2023-01-29,15,False
2023-02-05,15,False
2023-02-12,17,False
2023-02-19,16,False
2023-02-26,15,False
2023-03-05,15,False
2023-03-12,17,False
2023-03-19,17,False
2023-03-26,16,False
2023-04-02,16,False
2023-04-09,29,False
2023-04-16,49,False
2023-04-23,21,False
2023-04-30,17,False
2023-05-07,16,False
2023-05-14,20,False
2023-05-21,17,False
2023-05-28,16,False
2023-06-04,16,False
2023-06-11,16,False
2023-06-18,21,False
2023-06-25,22,False
2023-07-02,20,False
2023-07-09,19,False
2023-07-16,17,False
2023-07-23,18,False
2023-07-30,18,False
2023-08-06,17,False
2023-08-13,16,False
2023-08-20,15,False
2023-08-27,15,False
2023-09-03,14,False
2023-09-10,15,False
2023-09-17,16,False
2023-09-24,15,False
2023-10-01,16,False
2023-10-08,13,False
2023-10-15,11,False
2023-10-22,11,False
2023-10-29,19,False
2023-11-05,18,False
2023-11-12,18,False
2023-11-19,17,False
2023-11-26,34,False
2023-12-03,24,False
2023-12-10,19,False
2023-12-17,16,False
2023-12-24,13,False
2023-12-31,15,False
2024-01-07,15,False
2024-01-14,13,False
2024-01-21,15,False
2024-01-28,10,True
